ID,Hotel_name,Marks,City,Satisfaction,Reviews,Price,Distances,Discriptions,Stars,Breakfast
29,Dormir Apartments,9.3,Zagreb,Wonderful,222,211,1.9,Apartment with Balcony,3,Not included
32,MANDA Heritage Hotel,9.2,LowerTown,Wonderful,1285,336,0.5,Standard King Room,0,Not included
42,Admiral Hotel,9.2,Jarun,Wonderful,2377,668,5,Single Room,4,Breakfast included
44,Casablanca Boutique Bed&Breakfast,9.2,LowerTown,Wonderful,1078,313,1.2,Single Room,3,Breakfast included
46,Hotel PARK 45,9.1,LowerTown,Wonderful,2184,524,0.7,Standard Single Room,4,Breakfast included
47,Canopy by Hilton Zagreb City Centre,9.0,LowerTown,Wonderful,1827,430,1,Standard King Room,4,Not included
48,Rooms Zagreb 17,9.3,UpperTown–Medvescak,Wonderful,544,253,0.25,Comfort Double Room,4,Not included
50,Hotel 9,9.0,Zagreb,Wonderful,1631,477,1.8,Standard Double Room,4,Not included
52,Canopy by Hilton Zagreb City Centre,9.0,LowerTown,Wonderful,1827,430,1,Standard King Room,4,Not included
53,Rooms Lara,9.0,Zagreb,Wonderful,132,158,2.9,Double Room,3,Not included
54,Rooms Zagreb 17,9.3,UpperTown–Medvescak,Wonderful,544,253,0.25,Comfort Double Room,4,Not included
59,Apartments Lucky Place 2,9.0,LowerTown,Wonderful,906,235,1,Studio,2,Not included
61,WOODY - Your Sleep Oasis in Zagreb,9.3,LowerTown,Wonderful,109,235,0.5,Studio Apartment,3,Not included
65,Hotel AS,9.0,UpperTown–Medvescak,Wonderful,441,430,1.6,Single Deluxe,4,Breakfast included
66,Chez Ria,9.2,UpperTown–Medvescak,Wonderful,126,253,0.5,One-Bedroom Apartment,3,Not included
69,Hotel 9,9.0,Zagreb,Wonderful,1631,477,1.8,Standard Double Room,4,Not included
71,Livris Hotel,9.2,Zagreb,Wonderful,1442,313,2.3,Budget Single Room,4,Breakfast included
72,Premium Class Apartments II,9.3,LowerTown,Wonderful,78,328,0.05,One-Bedroom Apartment,4,Not included
74,The Dots Hostel,9.2,LowerTown,Wonderful,565,235,0.45,Single Room with Shared Bathroom,0,Not included
75,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
77,Hotel AS,9.0,UpperTown–Medvescak,Wonderful,441,430,1.6,Single Deluxe,4,Breakfast included
78,Chez Ria,9.2,UpperTown–Medvescak,Wonderful,126,253,0.5,One-Bedroom Apartment,3,Not included
79,WOODY - Your Sleep Oasis in Zagreb,9.3,LowerTown,Wonderful,109,235,0.5,Studio Apartment,3,Not included
81,Main Square Modern Apartments,9.4,LowerTown,Wonderful,473,258,0.3,Studio Apartment,4,Not included
82,LOOX serviced apartments Hatzova,9.3,LowerTown,Wonderful,443,328,0.7,Studio Apartment,3,Not included
84,Premium Class Apartments II,9.3,LowerTown,Wonderful,78,328,0.05,One-Bedroom Apartment,4,Not included
86,Apartments Lucky Place 2,9.0,LowerTown,Wonderful,906,235,1,Studio,2,Not included
87,"Naomi app,Netflix,between bus and train station",9.3,LowerTown,Wonderful,46,205,0.9,One-Bedroom Apartment,3,Not included
88,Annie's Bed&Breakfast,9.2,LowerTown,Wonderful,1301,383,0.9,Double Room with Private Bathroom,4,Breakfast included
89,Apartment Nirvana,9.3,Zagreb,Wonderful,161,197,2,Apartment - Ground Floor,3,Not included
91,Rooms Lidija,9.3,UpperTown–Medvescak,Wonderful,232,197,1.4,Standard Single Room,3,Not included
93,Hotel Jarun,9.4,Jarun,Wonderful,1348,493,4.4,Double Room,3,Not included
94,Hotel Capital,9.4,LowerTown,Wonderful,515,826,0.4,Superior Double or Twin Room with Atrium View,4,Not included
96,Apartments Lucky Place,9.1,LowerTown,Wonderful,639,282,1,Studio with Double Bed,2,Not included
98,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
99,Livris Hotel,9.2,Zagreb,Wonderful,1442,313,2.3,Budget Single Room,4,Breakfast included
102,B&B Dolac,9.4,LowerTown,Wonderful,243,477,0.05,Double Room with Private Bathroom,4,Breakfast included
104,Bumblebee Luxury Apartments 2,9.4,LowerTown,Wonderful,274,469,0.6,One-Bedroom Apartment,3,Not included
105,Chez Ria,9.2,UpperTown–Medvescak,Wonderful,126,253,0.5,One-Bedroom Apartment,3,Not included
106,Rooms at Zajčeva 34,9.4,Maksimir,Wonderful,1595,369,1.8,Superior Twin Room with City View,3,Not included
107,B&B Fontana,9.1,LowerTown,Wonderful,929,430,0.5,Double Room with Private Bathroom,4,Breakfast included
111,WOODY - Your Sleep Oasis in Zagreb,9.3,LowerTown,Wonderful,109,235,0.5,Studio Apartment,3,Not included
115,Maksimir-Rebro,9.1,Maksimir,Wonderful,394,235,3,Apartment - Ground Floor,3,Not included
116,Apartmani Arena Zagreb,9.2,NoviZagreb,Wonderful,234,169,5.1,One-Bedroom Apartment,3,Not included
118,Apartments Lisinski,9.4,Zagreb,Wonderful,1005,200,1.5,Studio Apartment,3,Not included
119,MonikaRooms,9.3,Zagreb,Wonderful,331,225,2.6,Twin Room with Private Bathroom,3,Not included
126,Apartman Grand,9.1,Zagreb,Wonderful,171,244,2.7,One-Bedroom Apartment,3,Not included
130,Main Square Modern Apartments,9.4,LowerTown,Wonderful,473,258,0.3,Studio Apartment,4,Not included
131,Zagreb Spin&Fly,9.3,LowerTown,Wonderful,645,357,0.6,Studio Apartment,4,Not included
135,Elenas Rooms & Apartment,9.4,LowerTown,Wonderful,883,375,0.35,Deluxe Double Room,4,Not included
136,LOOX serviced apartments Hatzova,9.3,LowerTown,Wonderful,443,328,0.7,Studio Apartment,3,Not included
137,Villa Zoki - soba dnevni najam,9.1,Zagreb,Wonderful,121,151,5.5,Deluxe Double or Twin Room,3,Not included
138,Random Room,9.1,Zagreb,Wonderful,194,141,8.2,Double Room,3,Not included
144,MKR Family Room,9.0,LowerTown,Wonderful,276,291,0.15,Studio Apartment,3,Not included
147,INFINITY CENTAR Zagreb,9.4,LowerTown,Wonderful,181,328,0.4,Deluxe Double Room,4,Not included
148,Apartments ZAGREB TALES,9.2,LowerTown,Wonderful,229,244,0.7,One-Bedroom Apartment,3,Not included
149,Zagreb Sleep & Eat,9.3,LowerTown,Wonderful,634,444,0.4,One-Bedroom Apartment,4,Not included
151,Dežman Luxury Center,9.1,LowerTown,Wonderful,692,469,0.6,Deluxe Double Room,4,Not included
154,Studio Apartments City&style,9.4,LowerTown,Wonderful,282,352,0.7,Deluxe King Studio,4,Not included
155,DTA Hebrangova,9.0,LowerTown,Wonderful,211,239,0.5,Studio,3,Not included
157,At queens,9.1,LowerTown,Wonderful,1027,222,0.7,Superior Apartment,3,Not included
158,Apartments S&A,9.1,UpperTown–Medvescak,Wonderful,27,328,0.5,One-Bedroom Apartment,4,Not included
159,Go2Zagreb,9.1,Zagreb,Wonderful,15,469,1.1,Superior Apartment,0,Not included
162,MKR Family Room,9.0,LowerTown,Wonderful,276,291,0.15,Studio Apartment,3,Not included
163,Apartment Nirvana,9.3,Zagreb,Wonderful,161,197,2,Apartment - Ground Floor,3,Not included
164,Zagreb Centar Apartman 90m2,9.0,Zagreb,Wonderful,67,296,2.3,Two-Bedroom Apartment,3,Breakfast included
165,Rooms at Zajčeva 34,9.4,Maksimir,Wonderful,1595,369,1.8,Superior Twin Room with City View,3,Not included
166,Random Room,9.1,Zagreb,Wonderful,194,141,8.2,Double Room,3,Not included
168,Dalija apartman,9.4,Zagreb,Wonderful,29,235,7.1,Apartment,3,Not included
170,Apartman Grand,9.1,Zagreb,Wonderful,171,244,2.7,One-Bedroom Apartment,3,Not included
175,Momo's Studio Apartment Zagreb,9.0,Zagreb,Wonderful,139,230,1.7,Apartment,3,Not included
